ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
Versus the World,Amon Amarth,Versus the World (2002),Death In Fire
The Battle of Los Angeles,Rage Against the Machine,The Battle of Los Angeles (1999),Testify
Burning Bridges,Arch Enemy,Burning Bridges (1999),Silverwing
The Carnival Bizarre,Cathedral,The Carnival Bizarre (1995),Hopkins (The Witchfinder General)
Bloody Kisses,Type O Negative,Bloody Kisses (1993),Black No. 1 (Little Miss Scare-All)
Hammerheart,Bathory,Hammerheart (1990),One Rode to Asa Bay
Never, Neverland,Annihilator,Never, Neverland (1990),Phantasmagoria
This Godless Endeavor,Nevermore,This Godless Endeavor (2005),This Godless Endeavor
At the Edge of Time,Blind Guardian,At the Edge of Time (2010),Sacred Worlds
Crimson Glory,Crimson Glory,Crimson Glory (1986),Dragon Lady
Viva Emptiness,Katatonia,Viva Emptiness (2003),Evidence
Dead Heart in a Dead World,Nevermore,Dead Heart in a Dead World (2000),Narcosynthesis
Iron Will,Grand Magus,Iron Will (2008),Iron Will
Blessing in Disguise,Metal Church,Blessing in Disguise (1989),Fake Healer
The Gathering Wilderness,Primordial,The Gathering Wilderness (2005),The Coffin Ships
Crack the Skye,Mastodon,Crack the Skye (2009),Crack the Skye
Gothic,Paradise Lost,Gothic (1991),Gothic
In the Nightside Eclipse,Emperor,In the Nightside Eclipse (1994),Inno A Satana
Transilvanian Hunger,Darkthrone,Transilvanian Hunger (1994),Transilvanian Hunger
Once Sent From the Golden Hall,Amon Amarth,Once Sent From the Golden Hall (1998),Victorious March
Six Degrees of Inner Turbulence,Dream Theater,Six Degrees of Inner Turbulence (2002),The Glass Prison
See You in Hell,Grim Reaper,See You in Hell (1983),See You in Hell
Battle Cry,Omen,Battle Cry (1984),Death Rider
Extreme Aggression,Kreator,Extreme Aggression (1989),Extreme Aggression
The Dark Saga,Iced Earth,The Dark Saga (1996),The Hunter
Necroticism: Descanting the Insalubrious,Carcass,Necroticism: Descanting the Insalubrious (1991),Corporal Jigsore Quandary
A Blaze in the Northern Sky,Darkthrone,A Blaze in the Northern Sky (1992),Kathaarian Life Code
The Dreadful Hours,My Dying Bride,The Dreadful Hours (2001),The Raven and the Rose
Deathcrush,Mayhem,Deathcrush (1987) [EP],Deathcrush
Alice in Hell,Annihilator,Alice in Hell (1989),W.T.Y.D
The House of Atreus: Act I,Virgin Steele,The House of Atreus: Act I (1999),Kingdom of the Fearless (The Destruction of Troy)
Blood Fire Death,Bathory,Blood Fire Death (1988),Dies Irae
Fighting the World,Manowar,Fighting the World (1987),Fighting the World
Demo Tape,Blitzkrieg,Demo Tape (1980) [EP],Blitzkrieg
No More Color,Coroner,No More Color (1989),Die by My Hand
To the Nameless Dead,Primordial,To the Nameless Dead (2007),Gallows Hymn
Hellbilly Deluxe,Rob Zombie,Hellbilly Deluxe (1998),Dragula
Silent Waters,Amorphis,Silent Waters (2007),Silent Waters
Undertow,Tool,Undertow (1993),Sober
Into Glory Ride,Manowar,Into Glory Ride (1983),Gates of Valhalla
Under a Funeral Moon,Darkthrone,Under a Funeral Moon (1993),Under a Funeral Moon
Draconian Times,Paradise Lost,Draconian Times (1995),Forever Failure
Bloody Kisses,Type O Negative,Bloody Kisses (1993),Christian Woman
Awake,Dream Theater,Awake (1994),6:00
Dehumanizer,Black Sabbath,Dehumanizer (1992),TV Crimes
In the Nightside Eclipse,Emperor,In the Nightside Eclipse (1994),Into the Infinity of Thoughts
Altars of Madness,Morbid Angel,Altars of Madness (1989),Immortal Rites
Under the Sign of the Black Mark,Bathory,Under the Sign of the Black Mark (1987),Woman of Dark Desires
Transcendence,Crimson Glory,Transcendence (1988),Where Dragons Rule
Bathory,Bathory,Bathory (1984),Raise the Dead
King of the Grey Islands,Candlemass,King of the Grey Islands (2007),Of Stars and Smoke
Court in the Act,Satan,Court in the Act (1983),Trial by Fire
Skyforger,Amorphis,Skyforger (2009),From the Heaven of My Heart
Wild Cat,Tygers of Pan Tang,Wild Cat (1980),Euthanasia
Album of the Year,Faith No More,Album of the Year (1997),Ashes to Ashes
At the Heart of Winter,Immortal,At the Heart of Winter (1999),At the Heart of Winter
Demanufacture,Fear Factory,Demanufacture (1995),Replica
Blues for the Red Sun,Kyuss,Blues for the Red Sun (1992),Freedom Run
Shoot Out the Lights / Helpless,Diamond Head,Shoot Out the Lights / Helpless (1980) [Single],Shoot Out the Lights
Badmotorfinger,Soundgarden,Badmotorfinger (1991),Outshined
This Godless Endeavor,Nevermore,This Godless Endeavor (2005),Final Product
Given to the Rising,Neurosis,Given to the Rising (2007),Water is Not Enough
Mercyful Fate,Mercyful Fate,Mercyful Fate (1982) [EP],A Corpse Without Soul
Human,Death,Human (1991),Lack of Comprehension
Violent Revolution,Kreator,Violent Revolution (2001),Violent Revolution
Through Silver in Blood,Neurosis,Through Silver in Blood (1996),Through Silver in Blood
By Inheritance,Artillery,By Inheritance (1990),By Inheritance
Hammerheart,Bathory,Hammerheart (1990),Shores in Flames
Orchid,Opeth,Orchid (1995),The Twilight is my Robe
Into the Pandemonium,Celtic Frost,Into the Pandemonium (1987),Mexican Radio
Helloween,Helloween,Helloween (1985) [EP],Victim of Fate
Damage Done,Dark Tranquillity,Damage Done (2002),Final Resistance
Crimson Glory,Crimson Glory,Crimson Glory (1986),Angels of War
Resurrection,Halford,Resurrection (2000),Silent Screams
Warhead / Lady Lust / Seven Gates of Hell,Venom,Warhead / Lady Lust / Seven Gates of Hell (1984) [Single],Seven Gates of Hell
Conspiracy,King Diamond,Conspiracy (1989),At The Graves
Clayman,In Flames,Clayman (2000),Bullet Ride
Skyforger,Amorphis,Skyforger (2009),Sky is Mine
Into the Mirror Black,Sanctuary,Into the Mirror Black (1990),Future Tense
Awake,Dream Theater,Awake (1994),Caught in a Web
The Devil You Know,Heaven & Hell,The Devil You Know (2009),Atom and Evil
Lateralus,Tool,Lateralus (2001),Lateralus
Kivenkantaja,Moonsorrow,Kivenkantaja (2003),Raunioilla
Burn My Eyes,Machine Head,Burn My Eyes (1994),Old
Still Life,Opeth,Still Life (1999),Godhead's Lament
Ecliptica,Sonata Arctica,Ecliptica (1999),8th Commandment
La Sexorcisto: Devil Music Vol. 1,White Zombie,La Sexorcisto: Devil Music Vol. 1 (1992),Thunder Kiss '65
The Great Cold Distance,Katatonia,The Great Cold Distance (2006),July
Colony,In Flames,Colony (1999),Ordinary Story
Wildhoney,Tiamat,Wildhoney (1994),Whatever That Hurts
The Years of Decay,Overkill,The Years of Decay (1989),I Hate
Bonded by Blood,Exodus,Bonded by Blood (1985),A Lesson In Violence
The Light at the End of the World,My Dying Bride,The Light at the End of the World (1999),She is the Dark
Blood of the Nations,Accept,Blood of the Nations (2010),Teutonic Terror
Land of the Free,Gamma Ray,Land of the Free (1995),Rebellion in Dreamland
Draconian Times,Paradise Lost,Draconian Times (1995),Hallowed Land
The Blackening,Machine Head,The Blackening (2007),Halo
Blessing in Disguise,Metal Church,Blessing in Disguise (1989),Badlands
The Gathering,Testament,The Gathering (1999),D.N.R. (Do Not Resuscitate)
Burning Bridges,Arch Enemy,Burning Bridges (1999),The Immortal
Metal Heart,Accept,Metal Heart (1985),Midnight Mover
Beneath the Remains,Sepultura,Beneath the Remains (1989),Stronger than Hate
Spellbound,Tygers of Pan Tang,Spellbound (1981),Take It
Clayman,In Flames,Clayman (2000),Only for the Weak
Queensrÿche,Queensrÿche,Queensrÿche (1983) [EP],Queen of the Reich
Visions,Stratovarius,Visions (1997),Black Diamond
Demolition,Girlschool,Demolition (1980),Emergency
Bonded by Blood,Exodus,Bonded by Blood (1985),Bonded by Blood
Wiseblood,Corrosion of Conformity,Wiseblood (1996),Long Whip/Big America
Feel the Fire,Overkill,Feel the Fire (1985),Rotten To The Core
Dimension Hatröss,Voivod,Dimension Hatröss (1988),Experiment
Pure Holocaust,Immortal,Pure Holocaust (1993),The Sun No Longer Rises
The Ethereal Mirror,Cathedral,The Ethereal Mirror (1993),Ride
10,000 Days,Tool,10,000 Days (2006),Vicarious
Taking Over,Overkill,Taking Over (1987),In Union We Stand
The Mantle,Agalloch,The Mantle (2002),I Am the Wooden Doors
Biomech,Ocean Machine,Biomech (1997),Funeral
Enemies of Reality,Nevermore,Enemies of Reality (2003),Enemies of Reality
Enemy of God,Kreator,Enemy of God (2005),Enemy of God
Once,Nightwish,Once (2004),Dark Chest of Wonders
Burnt Offerings,Iced Earth,Burnt Offerings (1995),Burnt Offerings
The Formation of Damnation,Testament,The Formation of Damnation (2008),More Than Meets the Eye
The Human Factor,Metal Church,The Human Factor (1991),The Human Factor
Kivenkantaja,Moonsorrow,Kivenkantaja (2003),Unohduksen lapsi
Slaughter of the Soul,At the Gates,Slaughter of the Soul (1995),Under a Serpent Sun
Morbid Visions,Sepultura,Morbid Visions (1986),Troops of Doom
Something Wicked This Way Comes,Iced Earth,Something Wicked This Way Comes (1998),The Coming Curse
Babylon,W.A.S.P.,Babylon (2009),Babylon's Burning
Burn My Eyes,Machine Head,Burn My Eyes (1994),Davidian
October Rust,Type O Negative,October Rust (1996),Wolf Moon (Including Zoanthropic Paranoia)
Fire Down Under,Riot,Fire Down Under (1981),Outlaw
At the Heart of Winter,Immortal,At the Heart of Winter (1999),Withstand the Fall of Time
How Will I Laugh Tomorrow When I Can't Even Smile Today,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today (1988),Trip at the Brain
Head On,Samson,Head On (1980),Vice Versa
Sirens,Savatage,Sirens (1983),Sirens
Visual Lies,Lizzy Borden,Visual Lies (1987),Me Against the World
Mental Vortex,Coroner,Mental Vortex (1991),Semtex Revolution
Blessed Are the Sick,Morbid Angel,Blessed Are the Sick (1991),Fall From Grace
The Nightcomers,Holocaust,The Nightcomers (1981),Death or Glory
At the Heart of Winter,Immortal,At the Heart of Winter (1999),Solarfall
Sign of the Hammer,Manowar,Sign of the Hammer (1984),Thor (The Powerhead)
The Dark,Metal Church,The Dark (1986),Ton of Bricks
The Ultra-Violence,Death Angel,The Ultra-Violence (1987),Thrashers
Frequencies From Planet Ten,Orange Goblin,Frequencies From Planet Ten (1997),Orange Goblin
Fatal Portrait,King Diamond,Fatal Portrait (1986),Halloween
Epicus Doomicus Metallicus,Candlemass,Epicus Doomicus Metallicus (1986),A Sorcerer’s Pledge
Refuge Denied,Sanctuary,Refuge Denied (1987),Die for My Sins
Resurrection,Halford,Resurrection (2000),Resurrection
System of a Down,System of a Down,System of a Down (1998),Spiders
Edge of Thorns,Savatage,Edge of Thorns (1993),Edge of Thorns
All for You,Annihilator,All for You (2004),Dr. Psycho
Speak English or Die,S.O.D.,Speak English or Die (1985),Speak English or Die
Anthems to the Welkin at Dusk,Emperor,Anthems to the Welkin at Dusk (1997),Ye Entrancemperium
Marrow of the Spirit,Agalloch,Marrow of the Spirit (2010),Ghosts of the Midwinter Fires
Wiped Out,Raven,Wiped Out (1982),Faster Than the Speed of Light
The American Way,Sacred Reich,The American Way (1990),The American Way
Icon,Paradise Lost,Icon (1993),Embers Fire
Frequencies From Planet Ten,Orange Goblin,Frequencies From Planet Ten (1997),Saruman's Wish
Battle Hymns,Manowar,Battle Hymns (1982),Metal Daze
Cleansing,Prong,Cleansing (1994),Whose Fist Is This Anyway?
Demanufacture,Fear Factory,Demanufacture (1995),Pisschrist
Sehnsucht,Rammstein,Sehnsucht (1997),Engel
Killing the Dragon,Dio,Killing the Dragon (2002),Killing the Dragon
The Somberlain,Dissection,The Somberlain (1993),The Somberlain
To the Nameless Dead,Primordial,To the Nameless Dead (2007),As Rome Burns
Kings of Metal,Manowar,Kings of Metal (1988),Kings of Metal
Never, Neverland,Annihilator,Never, Neverland (1990),The Fun Palace
Altars of Madness,Morbid Angel,Altars of Madness (1989),Maze of Torment
The Nightcomers,Holocaust,The Nightcomers (1981),Heavy Metal Mania
Ample Destruction,Jag Panzer,Ample Destruction (1984),Licensed to Kill
Dimension Hatröss,Voivod,Dimension Hatröss (1988),Tribal Convictions
The Mind Is a Terrible Thing to Taste,Ministry,The Mind Is a Terrible Thing to Taste (1989),So What?
NOLA,Down,NOLA (1995),Lifer
Angel Witch,Angel Witch,Angel Witch (1980),Sorceress
Fate of Norns,Amon Amarth,Fate of Norns (2004),The Pursuit of Vikings
Never, Neverland,Annihilator,Never, Neverland (1990),Never, Neverland
City,Strapping Young Lad,City (1997),Detox
Eternal Devastation,Destruction,Eternal Devastation (1986),Curse the Gods
King of the Kill,Annihilator,King of the Kill (1994),King of the Kill
Brave Murder Day,Katatonia,Brave Murder Day (1996),Brave
Still Life,Opeth,Still Life (1999),The Moor
Turn Loose the Swans,My Dying Bride,Turn Loose the Swans (1993),Your River
Harmony Corruption,Napalm Death,Harmony Corruption (1990),Suffer the Children
The Great Southern Trendkill,Pantera,The Great Southern Trendkill (1996),War Nerve
Sons of Northern Darkness,Immortal,Sons of Northern Darkness (2002),One by One
Transcendence,Crimson Glory,Transcendence (1988),Red Sharks
Altars of Madness,Morbid Angel,Altars of Madness (1989),Chapel of Ghouls
Dead Heart in a Dead World,Nevermore,Dead Heart in a Dead World (2000),The River Dragon Has Come
Tyranny of Souls,Bruce Dickinson,Tyranny of Souls (2005),Power of the Sun
Under the Sign of the Black Mark,Bathory,Under the Sign of the Black Mark (1987),Enter The Eternal Fire
Something Wicked This Way Comes,Iced Earth,Something Wicked This Way Comes (1998),Burning Times
Transcendence,Crimson Glory,Transcendence (1988),Masque of the Red Death
A Burnt Offering for the Bone Idol,Skyclad,A Burnt Offering for the Bone Idol (1992),Spinning Jenny
A Blaze in the Northern Sky,Darkthrone,A Blaze in the Northern Sky (1992),In the Shadow of the Horns
Hatebreeder,Children of Bodom,Hatebreeder (1999),Silent Night, Bodom Night
Slow, Deep and Hard,Type O Negative,Slow, Deep and Hard (1991),Unsuccessfully Coping With the Natural Beauty of Infidelity
Mabool: The Story of the Three Sons of Seven,Orphaned Land,Mabool: The Story of the Three Sons of Seven (2004),Mabool (The Flood)
Tales From the Thousand Lakes,Amorphis,Tales From the Thousand Lakes (1994),Black Winter Day
Join the Army,Suicidal Tendencies,Join the Army (1987),War Inside My Head
Ancient Dreams,Candlemass,Ancient Dreams (1988),Darkness In Paradise
Nothingface,Voivod,Nothingface (1989),The Unknown Knows
The Silent Enigma,Anathema,The Silent Enigma (1995),A Dying Wish
ThunderSteel,Riot,ThunderSteel (1988),Thundersteel
King of the Dead,Cirith Ungol,King of the Dead (1984),Master of the Pit
IX Equilibrium,Emperor,IX Equilibrium (1999),An Elegy of Icaros
Born Again,Black Sabbath,Born Again (1983),Trashed
Conspiracy,King Diamond,Conspiracy (1989),Sleepless Nights
Angel of Retribution,Judas Priest,Angel of Retribution (2005),Deal With the Devil
The Curse,Omen,The Curse (1986),Teeth of the Hydra
Time Travelling Blues,Orange Goblin,Time Travelling Blues (1998),Time Travelling Blues
Set the World on Fire,Annihilator,Set the World on Fire (1993),Set the World on Fire
Ironbound,Overkill,Ironbound (2010),Ironbound
Pale Folklore,Agalloch,Pale Folklore (1999),As Embers Dress the Sky
Tattooed Millionaire,Bruce Dickinson,Tattooed Millionaire (1990),Tattooed Millionaire
Extreme Aggression,Kreator,Extreme Aggression (1989),Betrayer
Borrowed Time,Diamond Head,Borrowed Time (1982),Borrowed Time
Wayward Sons of Mother Earth,Skyclad,Wayward Sons of Mother Earth (1991),The Sky Beneath My Feet
Awaken the Guardian,Fates Warning,Awaken the Guardian (1986),Fata Morgana
The Years of Decay,Overkill,The Years of Decay (1989),Elimination
Deliverance,Corrosion of Conformity,Deliverance (1994),Clean My Wounds
Dopethrone,Electric Wizard,Dopethrone (2000),Dopethrone
Agent Orange,Sodom,Agent Orange (1989),Agent Orange
All for One,Raven,All for One (1983),Take Control
The Dark Ride,Helloween,The Dark Ride (2000),The Dark Ride
Low,Testament,Low (1994),Dog Faced Gods
Infinite,Stratovarius,Infinite (2000),Hunting High and Low
The Ultimate Sin,Ozzy Osbourne,The Ultimate Sin (1986),Killer of Giants
Panopticon,Isis,Panopticon (2004),Backlit
Time Travelling Blues,Orange Goblin,Time Travelling Blues (1998),Blue Snow
Saint Vitus,Saint Vitus,Saint Vitus (1984),Saint Vitus
Sound of White Noise,Anthrax,Sound of White Noise (1993),Black Lodge
Gambling With the Devil,Helloween,Gambling With the Devil (2007),The Bells of the 7 Hells
Trouble,Trouble,Trouble (1990),All is Forgiven
Sons of Northern Darkness,Immortal,Sons of Northern Darkness (2002),Tyrants
Resurrection,Halford,Resurrection (2000),Made in Hell
Battle Cry,Omen,Battle Cry (1984),The Axeman
Come My Fanatics...,Electric Wizard,Come My Fanatics... (1997),Return Trip
Triumph and Agony,Warlock,Triumph and Agony (1987),All We Are
Under the Influence,Overkill,Under the Influence (1988),Hello from the Gutter
One Second,Paradise Lost,One Second (1997),Say Just Words
The Ultra-Violence,Death Angel,The Ultra-Violence (1987),Mistress of Pain
Last Fair Deal Gone Down,Katatonia,Last Fair Deal Gone Down (2001),Teargas
Awaken the Guardian,Fates Warning,Awaken the Guardian (1986),Exodus
Victims of Deception,Heathen,Victims of Deception (1991),Heathen's Song
Terria,Devin Townsend,Terria (2001),Deep Peace
Killing Technology,Voivod,Killing Technology (1987),Killing Technology
Abigail,King Diamond,Abigail (1987),The Family Ghost
The Devil You Know,Heaven & Hell,The Devil You Know (2009),Breaking Into Heaven
Endgame,Megadeth,Endgame (2009),Head Crusher
Stoner Witch,Melvins,Stoner Witch (1994),Revolve
Slipknot,Slipknot,Slipknot (1999),Wait and Bleed
Agent Orange,Sodom,Agent Orange (1989),Remember the Fallen
Age of Consent,Virgin Steele,Age of Consent (1988),The Burning of Rome (Cry for Pompeii)
Fabulous Disaster,Exodus,Fabulous Disaster (1989),Fabulous Disaster
"Them",King Diamond,"Them" (1988),Welcome Home
M-16,Sodom,M-16 (2001),Napalm in the Morning
The Spectre Within,Fates Warning,The Spectre Within (1985),Kyrie Eleison
Rock Until You Drop,Raven,Rock Until You Drop (1981),Hard Ride
Doomsday for the Deceiver,Flotsam and Jetsam,Doomsday for the Deceiver (1986),Hammerhead
How Will I Laugh Tomorrow When I Can't Even Smile Today,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today (1988),How Will I Laugh Tomorrow
History of a Time to Come,Sabbat,History of a Time to Come (1988),Behind the Crooked Cross
Doomsday for the Deceiver,Flotsam and Jetsam,Doomsday for the Deceiver (1986),She Took An Axe
Lionheart,Saxon,Lionheart (2004),Witchfinder General
Terrible Certainty,Kreator,Terrible Certainty (1987),Terrible Certainty
Into the Mirror Black,Sanctuary,Into the Mirror Black (1990),Taste Revenge
Black Metal,Venom,Black Metal (1982),Buried Alive
Death Is This Communion,High on Fire,Death Is This Communion (2007),Rumors of War
Beg to Differ,Prong,Beg to Differ (1990),Beg to Differ
Parallels,Fates Warning,Parallels (1991),Point of View
Endless Pain,Kreator,Endless Pain (1985),Tormentor
Stand Up and Fight,Quartz,Stand Up and Fight (1980),Stoking Up the Fires of Hell
Static Tensions,Kylesa,Static Tensions (2009),Running Red
Crystal Logic,Manilla Road,Crystal Logic (1983),Necropolis
Houdini,Melvins,Houdini (1993),Hooch
The Warning,Queensrÿche,The Warning (1984),Take Hold of the Flame
Frost and Fire,Cirith Ungol,Frost and Fire (1981),Frost and Fire
Victims of Deception,Heathen,Victims of Deception (1991),Hypnotized
Somewhere Out in Space,Gamma Ray,Somewhere Out in Space (1997),Beyond The Black Hole
Victims of Deception,Heathen,Victims of Deception (1991),Prisoners Of Fate
Pentagram,Pentagram,Pentagram (1985),20 Buck Spin
By Inheritance,Artillery,By Inheritance (1990),Bombfood
The Puppet Master,King Diamond,The Puppet Master (2003),Blood to Walk
No Place for Disgrace,Flotsam and Jetsam,No Place for Disgrace (1988),No Place For Disgrace
Voimasta ja kunniasta,Moonsorrow,Voimasta ja kunniasta (2001),Sankaritarina
Pentagram,Pentagram,Pentagram (1985),Sign of the Wolf (Pentagram)
Quartz,Quartz,Quartz (1977),Mainline Riders
Dead Winter Dead,Savatage,Dead Winter Dead (1995),Dead Winter Dead
The Nightcomers,Holocaust,The Nightcomers (1981),Smokin' Valves
Tunes of War,Grave Digger,Tunes of War (1996),Rebellion (The Clans Are Marching)
Danzig III: How the Gods Kill,Danzig,Danzig III: How the Gods Kill (1992),Dirty Black Summer
Ample Destruction,Jag Panzer,Ample Destruction (1984),Symphony of Terror
Menace to Society,Lizzy Borden,Menace to Society (1986),Notorious
Frost and Fire,Cirith Ungol,Frost and Fire (1981),I'm Alive
Darkness Descends,Dark Angel,Darkness Descends (1986),The Burning of Sodom
Seven Churches,Possessed,Seven Churches (1985),Death Metal
Symbol of Salvation,Armored Saint,Symbol of Salvation (1991),Reign of Fire
Forged in Fire,Anvil,Forged in Fire (1983),Winged Assassins
Burnt Offerings,Iced Earth,Burnt Offerings (1995),Brainwashed
Game Over,Nuclear Assault,Game Over (1986),Vengence
Traveller,The Lord Weird Slough Feg,Traveller (2003),High Passage / Low Passage
The Ultra-Violence,Death Angel,The Ultra-Violence (1987),Evil Priest
Killing Technology,Voivod,Killing Technology (1987),Overreaction
Danzig II: Lucifuge,Danzig,Danzig II: Lucifuge (1990),Devil's Plaything
Promised Land,Queensrÿche,Promised Land (1994),Promised Land
See You in Hell,Grim Reaper,See You in Hell (1983),All Hell Let Loose
Dreaming Neon Black,Nevermore,Dreaming Neon Black (1999),Beyond Within
The Politics of Ecstasy,Nevermore,The Politics of Ecstasy (1996),The Seven Tongues of God
Taking Over,Overkill,Taking Over (1987),Deny The Cross
Symbol of Salvation,Armored Saint,Symbol of Salvation (1991),Hanging Judge
Pleasures of the Flesh,Exodus,Pleasures of the Flesh (1987),Till Death Do Us Part
The Human Equation,Ayreon,The Human Equation (2004),Day Sixteen: Loser
Morningrise,Opeth,Morningrise (1996),To Bid You Farewell
Covenant,Morbid Angel,Covenant (1993),Rapture
The Mantle,Agalloch,The Mantle (2002),You Were But A Ghost In My Arms
Port Royal,Running Wild,Port Royal (1988),Conquistadores
Forbidden Evil,Forbidden,Forbidden Evil (1988),Chalice of Blood
Red, Hot and Heavy,Pretty Maids,Red, Hot and Heavy (1984),Back to Back
Under Jolly Roger,Running Wild,Under Jolly Roger (1987),Under Jolly Roger
Battle Cry,Omen,Battle Cry (1984),Battle Cry
Focus,Cynic,Focus (1993),Veil of Maya
Swansong,Carcass,Swansong (1996),Keep on Rotting in the Free World
Blessed Are the Sick,Morbid Angel,Blessed Are the Sick (1991),Blessed Are the Sick / Leading the Rats
Anthems to the Welkin at Dusk,Emperor,Anthems to the Welkin at Dusk (1997),The Loss and Curse of Reverence
City,Strapping Young Lad,City (1997),All Hail the New Flesh
Marrow of the Spirit,Agalloch,Marrow of the Spirit (2010),Black Lake Nidstång
Draconian Times,Paradise Lost,Draconian Times (1995),The Last Time
Blind,Corrosion of Conformity,Blind (1991),Vote with a Bullet
Awake,Dream Theater,Awake (1994),Voices
Houdini,Melvins,Houdini (1993),Night Goat
Storm of the Light's Bane,Dissection,Storm of the Light's Bane (1995),Thorns of Crimson Death
Crimson Glory,Crimson Glory,Crimson Glory (1986),Azrael
One Second,Paradise Lost,One Second (1997),One Second
A Sun That Never Sets,Neurosis,A Sun That Never Sets (2001),The Tide
Darkness Descends,Dark Angel,Darkness Descends (1986),Darkness Descends
Iced Earth,Iced Earth,Iced Earth (1991),Iced Earth
The Dreadful Hours,My Dying Bride,The Dreadful Hours (2001),The Dreadful Hours
Evil Empire,Rage Against the Machine,Evil Empire (1996),Bulls on Parade
Lateralus,Tool,Lateralus (2001),Parabola
Viva Emptiness,Katatonia,Viva Emptiness (2003),Ghost of the Sun
1919 Eternal,Black Label Society,1919 Eternal (2002),Demise of Sanity
Into the Mirror Black,Sanctuary,Into the Mirror Black (1990),Seasons of Destruction
No World Order,Gamma Ray,No World Order (2001),Dethrone Tyranny
Left Hand Path,Entombed,Left Hand Path (1990),Left Hand Path
Nattfödd,Finntroll,Nattfödd (2004),Trollhammaren
あくまのうた (Akuma no uta),Boris,あくまのうた (Akuma no uta) (2003),Ibitsu
Head On,Samson,Head On (1980),Hard Times
The Marriage of Heaven and Hell: Part One,Virgin Steele,The Marriage of Heaven and Hell: Part One (1994),I Will Come For You
Toxicity,System of a Down,Toxicity (2001),Aerials
Tomb of the Mutilated,Cannibal Corpse,Tomb of the Mutilated (1992),Hammer Smashed Face
The IVth Crusade,Bolt Thrower,The IVth Crusade (1992),The IVth Crusade
Accelerated Evolution,The Devin Townsend Band,Accelerated Evolution (2003),Storm
No Exit,Fates Warning,No Exit (1988),Anarchy Divine
Blind,Corrosion of Conformity,Blind (1991),Dance of the Dead
Forged in Fire,Anvil,Forged in Fire (1983),Forged in Fire
Natural Born Chaos,Soilwork,Natural Born Chaos (2002),Follow the Hollow
Age of Winters,The Sword,Age of Winters (2006),Freya
Metropolis Pt. 2: Scenes From a Memory,Dream Theater,Metropolis Pt. 2: Scenes From a Memory (1999),Strange Déjà Vu
Anthems of Rebellion,Arch Enemy,Anthems of Rebellion (2003),We Will Rise
Ignorance,Sacred Reich,Ignorance (1987),Ignorance
Deftones,Deftones,Deftones (2003),Minerva
Hatebreeder,Children of Bodom,Hatebreeder (1999),Downfall
Wages of Sin,Arch Enemy,Wages of Sin (2001),Ravenous
The Blackening,Machine Head,The Blackening (2007),Aesthetics of Hate
Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head,White Zombie,Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head (1995),Super-Charger Heaven
Streets: A Rock Opera,Savatage,Streets: A Rock Opera (1991),Jesus Saves
Terror Squad,Artillery,Terror Squad (1987),The Challenge
Down Among the Deadmen,The Lord Weird Slough Feg,Down Among the Deadmen (2000),Warriors Dawn
Episode,Stratovarius,Episode (1996),Speed of Light
System of a Down,System of a Down,System of a Down (1998),Sugar
Follow the Leader,Korn,Follow the Leader (1998),Freak on a Leash
Houdini,Melvins,Houdini (1993),Honey Bucket
Wayward Sons of Mother Earth,Skyclad,Wayward Sons of Mother Earth (1991),The Widdershins Jig
Seven Churches,Possessed,Seven Churches (1985),The Exorcist
Mabool: The Story of the Three Sons of Seven,Orphaned Land,Mabool: The Story of the Three Sons of Seven (2004),Ocean Land (The Revelation)
The Evolution of Chaos,Heathen,The Evolution of Chaos (2010),Dying Season
Tokyo Blade,Tokyo Blade,Tokyo Blade (1983),If Heaven Is Hell
Refuge Denied,Sanctuary,Refuge Denied (1987),Battle Angels
March of the Saint,Armored Saint,March of the Saint (1984),Can U Deliver
Grin,Coroner,Grin (1993),Internal Conflicts
Seven Churches,Possessed,Seven Churches (1985),Burning in Hell
War and Pain,Voivod,War and Pain (1984),Voivod
Sleep's Holy Mountain,Sleep,Sleep's Holy Mountain (1992),Holy Mountain
March of the Saint,Armored Saint,March of the Saint (1984),March of the Saint
The Marriage of Heaven and Hell Part Two,Virgin Steele,The Marriage of Heaven and Hell Part Two (1995),Emalaith
Manic Frustration,Trouble,Manic Frustration (1992),Memory's Garden
Unto the Locust,Machine Head,Unto the Locust (2011),Locust
Iron Will,Grand Magus,Iron Will (2008),Fear Is the Key
Death Penalty,Witchfinder General,Death Penalty (1982),Burning a Sinner
Clayman,In Flames,Clayman (2000),Pinball Map
Irreligious,Moonspell,Irreligious (1996),Opium
The Silent Enigma,Anathema,The Silent Enigma (1995),Restless Oblivion
Abducted,Hypocrisy,Abducted (1996),Roswell 47
Effigy of the Forgotten,Suffocation,Effigy of the Forgotten (1991),Infecting The Crypts
Twisted Into Form,Forbidden,Twisted Into Form (1990),Step by Step
Panopticon,Isis,Panopticon (2004),So Did We
Paradise Lost,Symphony X,Paradise Lost (2007),Domination
Verisäkeet,Moonsorrow,Verisäkeet (2005),Jotunheim
