ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
Ace of Spades,Motörhead,Ace of Spades (1980), The Chase Is Better Than The Catch
The Crimson Idol,W.A.S.P.,The Crimson Idol (1992), Chainsaw Charlie (Murders in the New Morgue)
Among the Living,Anthrax,Among the Living (1987), Indians
Screaming for Vengeance,Judas Priest,Screaming for Vengeance (1982), Screaming for Vengeance
Spreading the Disease,Anthrax,Spreading the Disease (1985), Madhouse
Motörhead,Motörhead,Motörhead (1977), Motorhead
Killing Machine,Judas Priest,Killing Machine (1978), Hell Bent for Leather
Balls to the Wall,Accept,Balls to the Wall (1983), Balls to the Wall
Among the Living,Anthrax,Among the Living (1987), Caught in a Mosh
Overkill,Motörhead,Overkill (1979), No Class
Sabotage,Black Sabbath,Sabotage (1975), Hole in the Sky
Cowboys From Hell,Pantera,Cowboys From Hell (1990), Cemetery Gates
The Real Thing,Faith No More,The Real Thing (1989), Epic
Keeper of the Seven Keys Part I,Helloween,Keeper of the Seven Keys Part I (1987), Future World
Blizzard of Ozz,Ozzy Osbourne,Blizzard of Ozz (1980), I Don't Know
Seventh Son of a Seventh Son,Iron Maiden,Seventh Son of a Seventh Son (1988), Infinite Dreams
Bark at the Moon,Ozzy Osbourne,Bark at the Moon (1983), Bark At the Moon
Reign in Blood,Slayer,Reign in Blood (1986), Postmortem
Twilight of the Thunder God,Amon Amarth,Twilight of the Thunder God (2008), Twilight of the Thunder God
Sad Wings of Destiny,Judas Priest,Sad Wings of Destiny (1976), Tyrant
Heaven and Hell,Black Sabbath,Heaven and Hell (1980), Die Young
De mysteriis dom Sathanas,Mayhem,De mysteriis dom Sathanas (1994), Freezing Moon
Scream Bloody Gore,Death,Scream Bloody Gore (1987), Zombie Ritual
Symbolic,Death,Symbolic (1995), Crystal Mountain
Toxicity,System of a Down,Toxicity (2001), Chop Suey!
Keeper of the Seven Keys Part II,Helloween,Keeper of the Seven Keys Part II (1988), Keeper of the Seven Keys
Painkiller,Judas Priest,Painkiller (1990), Leather Rebel
The Gallery,Dark Tranquillity,The Gallery (1995), Punish My Heaven
Sin After Sin,Judas Priest,Sin After Sin (1977), Dissident Aggressor
Angel Dust,Faith No More,Angel Dust (1992), Midlife Crisis
Blackwater Park,Opeth,Blackwater Park (2001), The Drapery Falls
Toxicity,System of a Down,Toxicity (2001), Toxicity
Balls to Picasso,Bruce Dickinson,Balls to Picasso (1994), Tears of the Dragon
Hail to England,Manowar,Hail to England (1984), Blood of My Enemies
The New Order,Testament,The New Order (1988), Disciples of the Watch
Holy Diver,Dio,Holy Diver (1983), Stand Up and Shout
Rust in Peace,Megadeth,Rust in Peace (1990), Five Magics
Melissa,Mercyful Fate,Melissa (1983), Curse of the Pharaohs
Blackwater Park,Opeth,Blackwater Park (2001), Bleak
Blood Fire Death,Bathory,Blood Fire Death (1988), A Fine Day to Die
Morbid Tales,Celtic Frost,Morbid Tales (1984), Procreation (of the Wicked)
...And Justice for All,Metallica,...And Justice for All (1988), ...And Justice for All
Restless and Wild,Accept,Restless and Wild (1982), Fast As a Shark
The Last in Line,Dio,The Last in Line (1984), The Last in Line
Blizzard of Ozz,Ozzy Osbourne,Blizzard of Ozz (1980), Suicide Solution
Keeper of the Seven Keys Part II,Helloween,Keeper of the Seven Keys Part II (1988), Dr. Stein
To the Nameless Dead,Primordial,To the Nameless Dead (2007), Empire Falls
Hell Awaits,Slayer,Hell Awaits (1985), Hell Awaits
Seasons in the Abyss,Slayer,Seasons in the Abyss (1990), War Ensemble
The Chemical Wedding,Bruce Dickinson,The Chemical Wedding (1998), Book of Thel
Keeper of the Seven Keys Part I,Helloween,Keeper of the Seven Keys Part I (1987), Halloween
